stop_id_a,stop_id_b,distance_m
STOP_001,STOP_003,301.51109462622713
STOP_001,STOP_006,121.14951783224333
STOP_003,STOP_006,315.6086675718087
STOP_004,STOP_017,241.15160765784165
STOP_008,STOP_013,199.63173668701387
STOP_011,STOP_013,383.66035538323933
STOP_012,STOP_015,253.29617914500525
STOP_012,STOP_016,391.41748267446934
STOP_015,STOP_016,280.76888439093915
STOP_019,STOP_023,334.63534094793016
STOP_025,STOP_026,388.7568278880031
STOP_025,STOP_028,176.956792563287
STOP_025,STOP_029,57.71267331279195
STOP_025,STOP_031,372.0607434523965
STOP_026,STOP_028,243.12857688607434
STOP_026,STOP_031,138.66862829686286
STOP_027,STOP_031,382.6078176284816
STOP_028,STOP_029,230.31000660887568
STOP_028,STOP_031,196.62676047206844
STOP_032,STOP_033,250.00395556900136
STOP_033,STOP_035,359.2252535225097
STOP_034,STOP_036,355.58611358298697
